4 0.0504089 2
5 0.019232 1
1 0.223194 5
2 0.323405 6
3 0.0821344 3
4 5.09708 23
5 1.88549 18
1 2.13637 15
2 1.01772 12
3 0.31234 9
4 1.15541 14
5 1.01284 14
1 0.744107 9
2 0.0484234 2
3 3.09616 18
4 0.309089 9
5 0.576488 12
1 1.11206 11
2 0.319488 6
3 0.85804 14
4 0.0983233 4
5 5.55959 25
1 5.06627 23
2 2.40593 16
3 0.204236 7
4 0.16454 6
5 1.81035 19
1 3.45767 19
2 1.96177 16
3 1.0016 15
4 0.25437 8
1 0.573188 8
2 0.0210632 1
3 1.58285 13
4 1.43372 14
5 1.74374 17
1 2.43336 16
2 0.634157 11
3 5.16742 25
4 1.12268 16
5 1.92349 20
1 0.45235 7
2 1.11619 12
3 0.191044 7
4 0.263484 6
1 2.74128 17
2 0.60161 11
3 0.928136 10
4 0.0157181 1
5 3.02645 23
1 3.82634 20
2 2.23972 17
3 2.16962 16
4 0.169784 6
5 0.813801 14
1 1.83669 14
2 4.16436 21
3 1.56435 17
4 0.58972 12
5 0.0139996 1
1 2.42587 16
2 0.38795 8
3 1.00357 12
4 1.89426 17
5 0.249125 8
1 3.42401 19
2 0.0162317 1
3 1.8382 14
4 0.376825 9
5 0.0801776 3
1 0.748214 9
2 4.21496 21
3 0.0134159 1
5 0.049851 2
1 5.56003 24
2 2.23703 17
3 1.11758 16
4 0.837332 14
5 0.129198 5
1 2.40662 16
2 0.0130388 1
3 0.914786 10
4 2.41906 16
5 1.7349 18
1 6.66427 26
2 1.69319 19
3 0.837223 11
4 5.56711 27
5 0.077834 3
1 0.427754 7
2 1.82535 14
3 0.937605 10
4 3.13626 18
5 0.701414 13
2 0.172169 6
3 1.55785 17
4 0.311943 9
5 0.190843 5
1 0.146445 4
2 0.773383 10
3 0.446073 7
4 1.37828 13
5 0.739986 9
1 1.58562 13
2 7.58291 28
3 0.249117 7
4 3.3042 25
5 1.40397 17
1 2.7269 17
2 0.605216 10
3 1.57905 18
4 0.319676 9
1 5.52897 24
2 0.829352 11
3 0.473555 11
4 0.897372 14
5 1.00901 15
1 1.35154 12
2 1.12753 11
3 1.54201 18
4 1.85508 19
5 0.0132694 1
1 1.3451 12
2 0.686284 13
3 2.09786 15
4 0.446848 7
5 1.69592 19
1 3.44425 19
2 0.972031 15
3 0.0770278 3
4 1.89377 17
5 0.476102 11
1 1.86124 14
2 0.0846888 3
3 2.12634 15
4 0.824249 14
5 2.5231 21
1 3.43601 19
2 0.0738232 3
3 1.62433 16
4 0.0483714 2
5 0.0162686 1
1 0.72648 9
2 2.77761 17
3 0.294495 8
4 0.139002 5
5 0.855427 14
1 3.44207 19
2 0.0137882 1
3 3.23993 20
4 0.0454206 2
5 0.470693 11
1 3.41945 19
2 1.68144 15
3 0.0973175 4
4 0.38752 10
5 0.0808414 3
1 0.932268 10
2 0.17257 6
3 0.0775311 3
4 1.94788 16
5 0.598584 8
1 0.218975 5
2 2.33126 18
3 4.63633 22
4 2.43158 22
5 0.587533 12
1 2.71665 17
2 1.83933 18
3 0.975571 15
4 0.154645 6
5 0.0178634 1
