165	12	2	2	6
166	9	4	1	4
167	10	5	1	7
168	10	0	4	9
169	11	1	3	5
170	13	3	5	4
171	6	3	4	2
172	17	2	7	11
173	12	1	2	4
174	13	1	3	9
175	17	1	5	2
176	14	2	4	4
177	17	1	1	5
178	26	1	2	9
179	13	3	2	4
180	16	2	5	3
181	17	3	5	7
182	19	12	6	4
183	15	5	6	9
184	10	1	4	4
185	13	6	3	9
186	17	0	5	7
187	12	5	3	6
188	13	1	3	6
189	10	2	0	4
190	20	9	17	6
191	10	4	4	8
192	10	0	1	4
193	14	5	4	3
194	13	2	2	1
195	11	2	4	6
196	16	6	7	4
197	15	2	1	8
198	10	3	8	4
199	9	1	7	2
200	10	1	7	5
201	7	0	3	5
202	10	2	1	4
203	12	4	4	5
204	11	2	2	1
205	17	2	5	5
206	14	1	3	11
207	12	4	2	3
208	14	4	1	4
209	10	3	5	3
210	10	0	2	7
211	12	0	4	3
212	14	4	5	3
213	16	3	4	3
214	10	1	3	6
215	16	1	2	5
216	12	5	6	7
217	21	1	4	5
218	10	3	2	4
219	10	3	7	7
220	6	0	5	5
221	13	3	4	6
222	14	2	0	8
223	15	0	4	5
224	12	11	12	6
225	16	5	5	7
226	12	5	4	6
227	15	1	2	3
228	13	5	7	9
229	11	1	2	3
230	18	3	7	3
231	17	3	2	4
232	15	2	5	1
233	9	3	1	3
234	16	4	3	5
235	16	6	6	11
236	15	5	5	6
237	10	2	1	6
238	10	4	5	6
239	18	2	4	6
240	13	3	2	4
241	11	0	4	8
242	14	3	1	5
243	20	1	4	2
244	21	2	4	6
245	16	4	5	6
246	16	3	5	6
247	18	4	4	3
248	13	5	5	8
249	12	1	4	4
250	10	4	0	5
251	14	2	4	5
252	20	9	12	13
253	15	0	3	3
254	15	9	3	6
255	14	4	4	5
256	14	4	2	5
257	12	2	2	4
258	21	2	4	9
259	14	4	7	5
260	16	9	10	6
261	12	1	2	6
262	12	0	1	7
263	12	0	3	5
264	8	2	5	2
265	14	2	4	4
266	12	1	2	6
267	12	2	7	0
268	25	3	5	5
269	11	1	2	3
270	12	1	1	3
271	16	1	4	5
272	25	6	8	5
273	14	1	3	5
274	20	0	4	7
275	11	0	2	4
276	16	3	3	4
277	16	3	5	2
278	19	7	6	4
279	22	6	3	8
280	7	2	4	3
281	16	3	1	10
282	10	0	2	3
283	12	0	2	1
284	11	2	4	11
285	12	4	4	5
286	12	1	2	3
287	13	0	5	8
288	14	3	2	3
289	18	2	3	1
290	16	4	0	4
291	21	2	4	4
292	17	8	9	4
293	10	0	1	3
294	21	4	3	4
295	14	5	4	5
296	11	1	1	4
297	13	2	2	4
298	9	1	0	6
299	12	1	3	4
300	10	4	1	3
301	13	1	8	4
302	15	2	3	6
303	9	2	0	3
304	14	4	5	8
305	8	1	3	3
306	15	0	4	5
307	16	1	3	3
308	10	4	4	6
309	10	1	3	6
310	16	4	9	5
311	19	6	5	5
312	7	1	1	2
313	7	0	4	3
314	20	5	8	3
315	17	3	7	3
316	14	3	1	4
317	10	3	1	1
318	16	7	2	8
319	24	11	8	5
320	15	3	4	3
321	14	0	4	2
322	12	3	1	5
323	26	1	3	5
324	13	5	4	8
325	16	2	3	3
326	16	1	2	2
327	15	2	2	1
328	16	1	5	9
329	10	4	5	7
330	14	2	6	4
331	11	1	3	7
332	12	10	12	10
333	23	2	5	6
334	15	2	5	6
335	19	0	3	7
336	20	1	5	4
337	19	4	8	3
338	17	2	5	6
339	9	4	1	4
340	15	1	3	6
341	9	3	0	6
342	21	1	4	6
343	13	5	3	4
344	11	4	8	7
345	11	3	2	5
346	21	5	6	6
347	6	4	3	1
348	9	1	5	9
349	19	1	3	3
350	11	3	0	7
